date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
19/05/2020,Uttarakhand,93,40,52,1,133
20/05/2020,Uttarakhand,111,58,52,1,169
21/05/2020,Uttarakhand,122,68,53,1,190
22/05/2020,Uttarakhand,146,91,54,1,237
23/05/2020,Uttarakhand,153,96,56,1,249
24/05/2020,Uttarakhand,244,186,56,2,430
25/05/2020,Uttarakhand,317,256,58,3,573
26/05/2020,Uttarakhand,349,288,58,3,637
27/05/2020,Uttarakhand,401,333,64,4,734
28/05/2020,Uttarakhand,469,386,79,4,855
29/05/2020,Uttarakhand,500,417,79,4,917
30/05/2020,Uttarakhand,716,609,102,5,1325
31/05/2020,Uttarakhand,749,642,102,5,1391
01/06/2020,Uttarakhand,907,800,102,5,1707
02/06/2020,Uttarakhand,958,730,222,6,1688
03/06/2020,Uttarakhand,1043,784,252,7,1827
04/06/2020,Uttarakhand,1085,795,282,8,1880
05/06/2020,Uttarakhand,1153,846,297,10,1999
06/06/2020,Uttarakhand,1215,860,344,11,2075
07/06/2020,Uttarakhand,1303,869,423,11,2172
08/06/2020,Uttarakhand,1355,814,528,13,2169
09/06/2020,Uttarakhand,1411,684,714,13,2095
10/06/2020,Uttarakhand,1537,769,755,13,2306
11/06/2020,Uttarakhand,1562,716,831,15,2278
12/06/2020,Uttarakhand,1643,786,842,15,2429
13/06/2020,Uttarakhand,1724,756,947,21,2480
14/06/2020,Uttarakhand,1785,685,1077,23,2470
15/06/2020,Uttarakhand,1819,684,1111,24,2503
16/06/2020,Uttarakhand,1845,632,1189,24,2477
17/06/2020,Uttarakhand,1942,701,1216,25,2643
18/06/2020,Uttarakhand,2023,743,1254,26,2766
19/06/2020,Uttarakhand,2102,690,1386,26,2792
20/06/2020,Uttarakhand,2177,718,1433,26,2895
21/06/2020,Uttarakhand,2301,824,1450,27,3125
22/06/2020,Uttarakhand,2344,817,1500,27,3161
23/06/2020,Uttarakhand,2402,853,1521,28,3255
24/06/2020,Uttarakhand,2535,903,1602,30,3438
25/06/2020,Uttarakhand,2623,867,1721,35,3490
26/06/2020,Uttarakhand,2691,897,1758,36,3588
27/06/2020,Uttarakhand,2725,866,1822,37,3591
28/06/2020,Uttarakhand,2791,842,1912,37,3633
29/06/2020,Uttarakhand,2823,767,2018,38,3590
30/06/2020,Uttarakhand,2831,681,2111,39,3512
24/03/2020,West Bengal,7,6,0,1,13
25/03/2020,West Bengal,9,8,0,1,17
26/03/2020,West Bengal,9,8,0,1,17
27/03/2020,West Bengal,10,9,0,1,19
28/03/2020,West Bengal,15,14,0,1,29
29/03/2020,West Bengal,17,16,0,1,33
30/03/2020,West Bengal,19,18,0,1,37
31/03/2020,West Bengal,26,24,0,2,50
01/04/2020,West Bengal,26,24,0,2,50
02/04/2020,West Bengal,37,28,6,3,65
03/04/2020,West Bengal,53,47,3,3,100
04/04/2020,West Bengal,63,57,3,3,120
05/04/2020,West Bengal,69,56,10,3,125
06/04/2020,West Bengal,80,67,10,3,147
07/04/2020,West Bengal,91,75,13,3,166
08/04/2020,West Bengal,99,81,13,5,180
